"wt","bbp","chl","par","mld","yd","sf","lat","lon","ap490","C_mod","date","doy","kd_M07","Ez1","fe"
17.9992,0.00078173725,0.1305802425,1.09291546228294,36,289,1.57728475314317,43.489075,-20.123325,1,11.5399570473204,2012-10-15,289,0.0363011335747623,65.8776660406117,1
20.2027727272727,0.000575861,0.0928312408,0.639801080013283,38,290,1.62506872674296,40.65912,-21.862136,1,6.51630245359948,2012-10-16,290,0.0322670099498505,57.5196503319879,1
21.9468583333333,0.000545639,0.0835140482,0.918636728230232,52,291,1.48155121913668,37.145266,-24.171186,1,7.41341888935445,2012-10-18,291,0.0311928803715617,71.0970112897625,1
22.2223864864865,0.0004933938,0.0657021986,0.919818199609033,35,292,1.41031278641918,34.682642,-27.162118,1,6.92683123249946,2012-10-19,292,0.0290217961683544,76.4599765822469,1
23.0732394736842,0.0005028135,0.06126368575,1.4474972262671,69,293,1.2343985583516,32.5214025,-30.053065,1,8.50272699521285,2012-10-19,293,0.0284518566471628,93.9278283443988,1
24.2136666666667,0.00056255325,0.053499482,1.39092845821019,66,294,1.12399048703158,30.345955,-32.8770175,1,7.7573530479829,2012-10-20,294,0.0274209710441777,96.0052278403723,1
26.026665,0.0007441745,0.07454579775,1.62823933581625,68,295,1.06537863789598,28.08105,-35.756155,1,10.3604156588652,2012-10-21,295,0.0301210883429048,92.628935919526,1
26.6743459459459,0.0007003264,0.0750786902,1.69770426772159,58,296,1.04901764634379,25.857144,-38.508402,1,11.1721672887478,2012-10-22,296,0.0301859167652724,93.8140134245914,1
27.03676,0.00085655675,0.07775550425,1.78918951766279,56,297,1.08534492614109,23.546254,-40.503716,1,11.9348952699938,2012-10-24,297,0.0305093058177505,94.5399362447177,1
27.0690705882353,0.00066688,0.07930845,1.52196468111679,47,298,0.979498334704156,20.918894,-38.89897,1,10.8906071339451,2012-10-25,298,0.030695241224455,88.6973692984523,1
27.6279774193548,0.00067003,0.096145052,1.67934271681272,32,299,1.33710824810336,18.39606,-36.970024,1,13.4448059024528,2012-10-25,299,0.0326403903648668,86.4262816200533,1
27.6122909090909,0.000811716,0.141883185,1.1872727313076,37,300,1.54170480683086,15.6012316666667,-34.8805366666667,1,12.6918360198002,2012-10-26,300,0.0374305680209379,66.1022281590372,1
27.9219848484848,0.0007655676,0.117178464,1.54419025671904,34,301,1.83641897853409,12.938848,-32.919336,1,13.9164087145848,2012-10-27,301,0.0349193808802798,78.3829693216187,1
28.6907594594595,0.0009626975,0.154412166,1.98021182543534,14,302,1.47134644614667,9.94596,-30.7195866666667,1,19.266247837289,2012-10-29,302,0.0386485041785259,77.2549669899086,1
28.7222885714286,0.0009799412,0.16227516,1.61528842591017,20,303,1.38277597337491,7.02606833333333,-28.6086516666667,1,17.5450985853337,2012-10-30,303,0.0393962674111001,70.6183303252226,1
28.136403030303,0.000886925833333333,0.169894888333333,1.89924380001553,18,304,1.29426985738399,4.56819333333333,-26.75443,1,19.6571034017148,2012-10-31,304,0.0401096180641267,73.399873697244,1
27.209735483871,0.000888355833333333,0.135358095,0.801002448191231,57,305,1.7087229431163,1.59914333333333,-25.124045,1,8.63866774178969,2012-11-01,305,0.0367823232033238,56.5677650645539,1
26.5920875,0.000876332,0.10388099,2.0733095766139,69,306,1.27661575194476,-1.2117825,-25.0012325,1,14.4787098290859,2012-11-01,306,0.0334959832980186,90.5102927062275,1
25.70085,0.000817772333333333,0.074442117,2.28413873385646,71,307,1.26279771771118,-4.03431571428571,-25.0168842857143,1,13.7717262262312,2012-11-02,307,0.0301084575128252,103.910142963281,1
25.5710965517241,0.0007696912,0.0525094982,1.77475885672392,48,308,1.0664265656737,-7.162634,-25.035296,1,10.0580061864053,2012-11-03,308,0.0272860997128006,105.410801895447,1
25.2664083333333,0.0005982064,0.0334853356,2.00521962043559,46,309,0.924424909781409,-10.790234,-25.04503,1,8.94426472832066,2012-11-04,309,0.0244998600092041,122.381870059843,1
24.5278571428571,0.0006254496,0.0296809536,2.07880295032158,40,310,0.839685764098563,-14.7877766666667,-25.0768866666667,1,8.73423257850269,2012-11-06,310,0.0238853156005375,127.039448301011,1
24.0449772727273,0.0006739905,0.036939198,1.80759112344532,21,311,0.648714906768066,-17.837116,-25.09999,1,8.83138815474846,2012-11-06,311,0.0250381516203891,115.606783788888,1
23.938662962963,0.000833915,0.04448628,1.64882070832955,35,312,0.790868031539288,-18.52378,-25.11795,1,8.89358889243723,2012-11-08,312,0.0261601193481866,107.134274344991,1
23.5566565217391,0.0008170988,0.0413518574,1.49005029321378,49,313,0.647042993319851,-19.518064,-24.746334,1,7.59223647392837,2012-11-08,313,0.0257023996739525,105.102830882915,1
23.084836,0.00080447625,0.04792141475,1.35920567300051,30,314,0.781238613498154,-22.306656,-24.963134,1,7.97873391544298,2012-11-09,314,0.02664974728834,97.9178350138319,1
22.6848739130435,0.00075684675,0.060324162,2.13778412850909,28,315,0.910321373584329,-25.162164,-25.001658,1,12.89509419259,2012-11-10,315,0.028329497316541,108.097750460939,1
21.758645,0.000841651,0.0627196975,2.25925240434843,37,316,0.898970069125524,-27.885334,-25.25264,1,13.5946371570286,2012-11-11,316,0.0286402706588803,108.854385286715,1
22.1239882352941,0.0007569062,0.0696627428,2.50625653182642,12,317,1.06493137230882,-29.793682,-27.408564,1,15.6059712294609,2012-11-12,317,0.0295197579266581,109.126074789703,1
20.27458,0.0010458338,0.1734007942,1.92892445536201,36,318,1.34041276110511,-31.805738,-30.210274,1,19.1688609385928,2012-11-13,318,0.0404342941936553,73.193998376363,1
17.1718166666667,0.0016021024,0.457247644,1.3515923788976,61,319,1.14414391148775,-33.644768,-32.809316,1,20.5322229402785,2012-11-14,319,0.0623057889945112,41.7917591973236,1
16.4650588235294,0.00245019342857143,0.624906568571429,2.10236873435225,71,320,1.02873887857479,-35.6712171428571,-35.7189314285714,1,26.1868665927198,2012-11-15,320,0.0729727636763678,41.7368017510094,1
15.24736,0.0031115986,0.67713148,2.39509112647701,52,321,0.902390571831461,-37.568656,-38.532358,1,33.4129681476253,2012-11-16,321,0.0760944448722805,41.7376902755151,1
15.3101666666667,0.0020762415,0.6772461475,2.46264532474099,21,322,0.801512054378568,-39.636504,-41.68005,1,44.4239653950804,2012-11-17,322,0.0761012100263855,42.0994777787273,1
12.96862,0.0017819058,0.562371958,2.4976339083804,25,323,1.40605780839864,-41.664014,-44.85142,1,39.6651447497034,2012-11-18,323,0.0691194754203661,46.5560382293966,1
13.1874019230769,0.0027835958,0.881502574,1.95779515345431,12,324,1.28734925194623,-43.621962,-48.019464,1,50.9855413582516,2012-11-19,324,0.0876226922607451,33.9455902870344,1
12.4533907407407,0.003103451,0.881502574,0.509872571066564,32,325,1.08453250332747,-45.228566,-50.804544,1,26.3560149993939,2012-11-20,325,0.0876226922607451,18.5909677713235,1
